index,a,b,c,d,e
3860,ornament,ornaments,ornamented,ornamented,ornamenting
3861,orphan,orphans,orphaned,orphaned,orphaning
3862,oscillate,oscillates,oscillated,oscillated,oscillating
3863,ossify,ossifies,ossified,ossified,ossifying
3864,ostracise,ostracises,ostracised,ostracised,ostracising
3865,ostracize,ostracizes,ostracized,ostracized,ostracizing
3866,oust,ousts,ousted,ousted,ousting
3867,out,outs,outed,outed,outing
3868,outbid,outbids,outbid,outbid,outbidding
3869,outclass,outclasses,outclassed,outclassed,outclassing
3870,outdistance,outdistances,outdistanced,outdistanced,outdistancing
3871,outdo,outdoes,outdid,outdone,outdoing
3872,outface,outfaces,outfaced,outfaced,outfacing
3873,outfit,outfits,outfitted,outfitted,outfitting
3874,outflank,outflanks,outflanked,outflanked,outflanking
3875,outfox,outfoxes,outfoxed,outfoxed,outfoxing
3876,outgrow,outgrows,outgrew,outgrown,outgrowing
3877,outgun,outguns,outgunned,outgunned,outgunning
3878,outlast,outlasts,outlasted,outlasted,outlasting
3879,outlaw,outlaws,outlawed,outlawed,outlawing
3880,outline,outlines,outlined,outlined,outlining
3881,outlive,outlives,outlived,outlived,outliving
3882,outmanoeuvre,outmanoeuvres,outmanoeuvred,outmanoeuvred,outmanoeuvring
3883,outnumber,outnumbers,outnumbered,outnumbered,outnumbering
3884,outpace,outpaces,outpaced,outpaced,outpacing
3885,outperform,outperforms,outperformed,outperformed,outperforming
3886,outplay,outplays,outplayed,outplayed,outplaying
3887,outpoint,outpoints,outpointed,outpointed,outpointing
3888,output,outputs,outputted,outputted,outputting
3889,outrage,outrages,outraged,outraged,outraging
3890,outrank,outranks,outranked,outranked,outranking
3891,outride,outrides,outrode,outridden,outriding
3892,outrun,outruns,outran,outrun,outrunning
3893,outsell,outsells,outsold,outsold,outselling
3894,outshine,outshines,outshone,outshone,outshining
3895,outsmart,outsmarts,outsmarted,outsmarted,outsmarting
3896,outsource,outsources,outsourced,outsourced,outsourcing
3897,outspend,outspends,outspent,outspent,outspending
3898,outstay,outstays,outstayed,outstayed,outstaying
3899,outstrip,outstrips,outstripped,outstripped,outstripping
3900,outvote,outvotes,outvoted,outvoted,outvoting
3901,outweigh,outweighs,outweighed,outweighed,outweighing
3902,outwit,outwits,outwitted,outwitted,outwitting
3903,over-egg,over-eggs,over-egged,over-egged,over-egging
3904,overachieve,overachieves,overachieved,overachieved,overachieving
3905,overact,overacts,overacted,overacted,overacting
3906,overawe,overawes,overawed,overawed,overawing
3907,overbalance,overbalances,overbalanced,overbalanced,overbalancing
3908,overbear,overbears,overbore,overborne,overbearing
3909,overbid,overbids,overbid,overbid,overbidding
3910,overbook,overbooks,overbooked,overbooked,overbooking
3911,overburden,overburdens,overburdened,overburdened,overburdening
3912,overcharge,overcharges,overcharged,overcharged,overcharging
3913,overcome,overcomes,overcame,overcome,overcoming
3914,overcompensate,overcompensates,overcompensated,overcompensated,overcompensating
3915,overcook,overcooks,overcooked,overcooked,overcooking
3916,overdevelop,overdevelops,overdeveloped,overdeveloped,overdeveloping
3917,overdo,overdoes,overdid,overdone,overdoing
3918,overdose,overdoses,overdosed,overdosed,overdosing
3919,overdraw,overdraws,overdrew,overdrawn,overdrawing
3920,overdub,overdubs,overdubbed,overdubbed,overdubbing
3921,overeat,overeats,overate,overeaten,overeating
3922,overegg,overeggs,overegged,overegged,overegging
3923,overemphasise,overemphasises,overemphasised,overemphasised,overemphasising
3924,overemphasize,overemphasizes,overemphasized,overemphasized,overemphasizing
3925,overestimate,overestimates,overestimated,overestimated,overestimating
3926,overexpose,overexposes,overexposed,overexposed,overexposing
3927,overextend,overextends,overextended,overextended,overextending
3928,overfeed,overfeeds,overfed,overfed,overfeeding
3929,overfill,overfills,overfilled,overfilled,overfilling
3930,overflow,overflows,overflowed,overflowed,overflowing
3931,overfly,overflies,overflew,overflown,overflying
3932,overgeneralise,overgeneralises,overgeneralised,overgeneralised,overgeneralising
3933,overgeneralize,overgeneralizes,overgeneralized,overgeneralized,overgeneralizing
3934,overgraze,overgrazes,overgrazed,overgrazed,overgrazing
3935,overhang,overhangs,overhung,overhung,overhanging
3936,overhaul,overhauls,overhauled,overhauled,overhauling
3937,overhear,overhears,overheard,overheard,overhearing
3938,overheat,overheats,overheated,overheated,overheating
3939,overindulge,overindulges,overindulged,overindulged,overindulging
3940,overlap,overlaps,overlapped,overlapped,overlapping
3941,overlay,overlays,overlaid,overlaid,overlaying
3942,overlie,overlies,overlay,overlain,overlying
3943,overload,overloads,overloaded,overloaded,overloading
3944,overlook,overlooks,overlooked,overlooked,overlooking
3945,overpay,overpays,overpaid,overpaid,overpaying
3946,overplay,overplays,overplayed,overplayed,overplaying
3947,overpower,overpowers,overpowered,overpowered,overpowering
3948,overprint,overprints,overprinted,overprinted,overprinting
3949,overproduce,overproduces,overproduced,overproduced,overproducing
3950,overrate,overrates,overrated,overrated,overrating
3951,overreach,overreaches,overreached,overreached,overreaching
3952,overreact,overreacts,overreacted,overreacted,overreacting
3953,override,overrides,overrode,overridden,overriding
3954,overrule,overrules,overruled,overruled,overruling
3955,overrun,overruns,overran,overrun,overrunning
3956,oversee,oversees,oversaw,overseen,overseeing
3957,oversell,oversells,oversold,oversold,overselling
3958,overshadow,overshadows,overshadowed,overshadowed,overshadowing
3959,overshare,overshares,overshared,overshared,oversharing
3960,overshoot,overshoots,overshot,overshot,overshooting
3961,oversimplify,oversimplifies,oversimplified,oversimplified,oversimplifying
3962,oversleep,oversleeps,overslept,overslept,oversleeping
3963,overspend,overspends,overspent,overspent,overspending
3964,overstate,overstates,overstated,overstated,overstating
3965,overstay,overstays,overstayed,overstayed,overstaying
3966,overstep,oversteps,overstepped,overstepped,overstepping
3967,overstock,overstocks,overstocked,overstocked,overstocking
3968,overstretch,overstretches,overstretched,overstretched,overstretching
3969,overtake,overtakes,overtook,overtaken,overtaking
3970,overtax,overtaxes,overtaxed,overtaxed,overtaxing
3971,overthink,overthinks,overthought,overthought,overthinking
3972,overthrow,overthrows,overthrew,overthrown,overthrowing
3973,overtop,overtops,overtopped,overtopped,overtopping
3974,overtrain,overtrains,overtrained,overtrained,overtraining
3975,overturn,overturns,overturned,overturned,overturning
3976,overuse,overuses,overused,overused,overusing
3977,overvalue,overvalues,overvalued,overvalued,overvaluing
3978,overwhelm,overwhelms,overwhelmed,overwhelmed,overwhelming
3979,overwinter,overwinters,overwintered,overwintered,overwintering
3980,overwork,overworks,overworked,overworked,overworking
3981,overwrite,overwrites,overwrote,overwritten,overwriting
3982,ovulate,ovulates,ovulated,ovulated,ovulating
3983,owe,owes,owed,owed,owing
3984,own,owns,owned,owned,owning
3985,oxidise,oxidises,oxidised,oxidised,oxidising
3986,oxidize,oxidizes,oxidized,oxidized,oxidizing
3987,oxygenate,oxygenates,oxygenated,oxygenated,oxygenating
3988,pace,paces,paced,paced,pacing
3989,pacify,pacifies,pacified,pacified,pacifying
3990,pack,packs,packed,packed,packing
3991,package,packages,packaged,packaged,packaging
3992,packetise,packetises,packetised,packetised,packetising
3993,packetize,packetizes,packetized,packetized,packetizing
3994,pad,pads,padded,padded,padding
3995,paddle,paddles,paddled,paddled,paddling
3996,padlock,padlocks,padlocked,padlocked,padlocking
3997,page,pages,paged,paged,paging
3998,page-jack,page-jacks,page-jacked,page-jacked,page-jacking
3999,pagejack,pagejacks,pagejacked,pagejacked,pagejacking
4000,paginate,paginates,paginated,paginated,paginating
4001,pain,pains,pained,pained,paining
4002,paint,paints,painted,painted,painting
4003,pair,pairs,paired,paired,pairing
4004,pal,pals,palled,palled,palling
4005,palatalise,palatalises,palatalised,palatalised,palatalising
4006,palatalize,palatalizes,palatalized,palatalized,palatalizing
4007,pale,pales,paled,paled,paling
4008,pall,palls,palled,palled,palling
4009,palliate,palliates,palliated,palliated,palliating
4010,palm,palms,palmed,palmed,palming
4011,palpate,palpates,palpated,palpated,palpating
4012,palpitate,palpitates,palpitated,palpitated,palpitating
4013,pamper,pampers,pampered,pampered,pampering
4014,pan,pans,panned,panned,panning
4015,pan-fry,pan-fries,pan-fried,pan-fried,pan-frying
4016,pander,panders,pandered,pandered,pandering
4017,panel,panels,panelled,panelled,panelling
4018,panfry,panfries,panfried,panfried,panfrying
4019,panhandle,panhandles,panhandled,panhandled,panhandling
4020,panic,panics,panicked,panicked,panicking
4021,pant,pants,panted,panted,panting
4022,pap,paps,papped,papped,papping
4023,paper,papers,papered,papered,papering
4024,parachute,parachutes,parachuted,parachuted,parachuting
4025,parade,parades,paraded,paraded,parading
4026,parallel,parallels,paralleled,paralleled,paralleling
4027,paralyse,paralyses,paralysed,paralysed,paralysing
4028,paralyze,paralyzes,paralyzed,paralyzed,paralyzing
4029,paraphrase,paraphrases,paraphrased,paraphrased,paraphrasing
4030,parboil,parboils,parboiled,parboiled,parboiling
4031,parcel,parcels,parcelled,parcelled,parcelling
4032,parch,parches,parched,parched,parching
4033,pardon,pardons,pardoned,pardoned,pardoning
4034,pare,pares,pared,pared,paring
4035,park,parks,parked,parked,parking
4036,parlay,parlays,parlayed,parlayed,parlaying
4037,parley,parleys,parleyed,parleyed,parleying
4038,parody,parodies,parodied,parodied,parodying
4039,parole,paroles,paroled,paroled,paroling
4040,parrot,parrots,parroted,parroted,parroting
4041,parry,parries,parried,parried,parrying
4042,parse,parses,parsed,parsed,parsing
4043,part,parts,parted,parted,parting
4044,part-exchange,part-exchanges,part-exchanged,part-exchanged,part-exchanging
4045,partake,partakes,partook,partaken,partaking
4046,partexchange,partexchanges,partexchanged,partexchanged,partexchanging
4047,participate,participates,participated,participated,participating
4048,particularise,particularises,particularised,particularised,particularising
4049,particularize,particularizes,particularized,particularized,particularizing
4050,partition,partitions,partitioned,partitioned,partitioning
4051,partner,partners,partnered,partnered,partnering
4052,party,parties,partied,partied,partying
4053,pass,passes,passed,passed,passing
4054,passivise,passivises,passivised,passivised,passivising
4055,passivize,passivizes,passivized,passivized,passivizing
4056,paste,pastes,pasted,pasted,pasting
4057,pasteurise,pasteurises,pasteurised,pasteurised,pasteurising
4058,pasteurize,pasteurizes,pasteurized,pasteurized,pasteurizing
4059,pasture,pastures,pastured,pastured,pasturing
4060,pat,pats,patted,patted,patting
4061,patch,patches,patched,patched,patching
4062,patent,patents,patented,patented,patenting
4063,patrol,patrols,patrolled,patrolled,patrolling
4064,patronise,patronises,patronised,patronised,patronising
4065,patronize,patronizes,patronized,patronized,patronizing
4066,patter,patters,pattered,pattered,pattering
4067,pattern,patterns,patterned,patterned,patterning
4068,pause,pauses,paused,paused,pausing
4069,pave,paves,paved,paved,paving
4070,paw,paws,pawed,pawed,pawing
4071,pawn,pawns,pawned,pawned,pawning
4072,pay,pays,paid,paid,paying
4073,peak,peaks,peaked,peaked,peaking
4074,peal,peals,pealed,pealed,pealing
4075,peck,pecks,pecked,pecked,pecking
4076,pedal,pedals,pedalled,pedalled,pedalling
4077,peddle,peddles,peddled,peddled,peddling
4078,pedestrianise,pedestrianises,pedestrianised,pedestrianised,pedestrianising
4079,pedestrianize,pedestrianizes,pedestrianized,pedestrianized,pedestrianizing
4080,pee,pees,peed,peed,peeing
4081,peek,peeks,peeked,peeked,peeking
4082,peel,peels,peeled,peeled,peeling
4083,peep,peeps,peeped,peeped,peeping
4084,peer,peers,peered,peered,peering
4085,peg,pegs,pegged,pegged,pegging
4086,pelt,pelts,pelted,pelted,pelting
4087,pen,pens,penned,penned,penning
4088,penalise,penalises,penalised,penalised,penalising
4089,penalize,penalizes,penalized,penalized,penalizing
4090,pencil,pencils,pencilled,pencilled,pencilling
4091,penetrate,penetrates,penetrated,penetrated,penetrating
4092,pension,pensions,pensioned,pensioned,pensioning
4093,people,peoples,peopled,peopled,peopling
4094,pep,peps,pepped,pepped,pepping
4095,pepper,peppers,peppered,peppered,peppering
4096,perambulate,perambulates,perambulated,perambulated,perambulating
4097,perceive,perceives,perceived,perceived,perceiving
4098,perch,perches,perched,perched,perching
4099,percolate,percolates,percolated,percolated,percolating
4100,perfect,perfects,perfected,perfected,perfecting
4101,perforate,perforates,perforated,perforated,perforating
4102,perform,performs,performed,performed,performing
4103,perfume,perfumes,perfumed,perfumed,perfuming
4104,perish,perishes,perished,perished,perishing
4105,perjure,perjures,perjured,perjured,perjuring
4106,perk,perks,perked,perked,perking
4107,perm,perms,permed,permed,perming
4108,permeate,permeates,permeated,permeated,permeating
4109,permit,permits,permitted,permitted,permitting
4110,perpetrate,perpetrates,perpetrated,perpetrated,perpetrating
4111,perpetuate,perpetuates,perpetuated,perpetuated,perpetuating
4112,perplex,perplexes,perplexed,perplexed,perplexing
4113,persecute,persecutes,persecuted,persecuted,persecuting
4114,persevere,perseveres,persevered,persevered,persevering
4115,persist,persists,persisted,persisted,persisting
4116,personalise,personalises,personalised,personalised,personalising
4117,personalize,personalizes,personalized,personalized,personalizing
4118,personify,personifies,personified,personified,personifying
4119,perspire,perspires,perspired,perspired,perspiring
4120,persuade,persuades,persuaded,persuaded,persuading
4121,pertain,pertains,pertained,pertained,pertaining
4122,perturb,perturbs,perturbed,perturbed,perturbing
4123,peruse,peruses,perused,perused,perusing
4124,pervade,pervades,pervaded,pervaded,pervading
4125,pervert,perverts,perverted,perverted,perverting
4126,pester,pesters,pestered,pestered,pestering
4127,pet,pets,petted,petted,petting
4128,peter,peters,petered,petered,petering
4129,petition,petitions,petitioned,petitioned,petitioning
4130,petrify,petrifies,petrified,petrified,petrifying
4131,phase,phases,phased,phased,phasing
4132,philosophise,philosophises,philosophised,philosophised,philosophising
4133,philosophize,philosophizes,philosophized,philosophized,philosophizing
4134,phone,phones,phoned,phoned,phoning
4135,photobomb,photobombs,photobombed,photobombed,photobombing
4136,photocopy,photocopies,photocopied,photocopied,photocopying
4137,photograph,photographs,photographed,photographed,photographing
4138,photosensitise,photosensitises,photosensitised,photosensitised,photosensitising
4139,photosensitize,photosensitizes,photosensitized,photosensitized,photosensitizing
4140,photoshop,photoshops,photoshopped,photoshopped,photoshopping
4141,photosynthesise,photosynthesises,photosynthesised,photosynthesised,photosynthesising
4142,photosynthesize,photosynthesizes,photosynthesized,photosynthesized,photosynthesizing
4143,phrase,phrases,phrased,phrased,phrasing
4144,pick,picks,picked,picked,picking
4145,picket,pickets,picketed,picketed,picketing
4146,pickle,pickles,pickled,pickled,pickling
4147,picnic,picnics,picnicked,picnicked,picnicking
4148,picture,pictures,pictured,pictured,picturing
4149,picturise,picturises,picturised,picturised,picturising
4150,picturize,picturizes,picturized,picturized,picturizing
4151,piddle,piddles,piddled,piddled,piddling
4152,piece,pieces,pieced,pieced,piecing
4153,pierce,pierces,pierced,pierced,piercing
4154,pig,pigs,pigged,pigged,pigging
4155,pigeonhole,pigeonholes,pigeonholed,pigeonholed,pigeonholing
